error,KP,KD,KI
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
59.21875,0.001,0.01,0.0001
57.65625,0.001,0.01,0.0001
55.703125,0.001,0.01,0.0001
53.75,0.001,0.01,0.0001
50.234375,0.001,0.01,0.0001
47.890625,0.001,0.01,0.0001
45.15625,0.001,0.01,0.0001
42.421875,0.001,0.01,0.0001
40.078125,0.001,0.01,0.0001
38.125,0.001,0.01,0.0001
36.171875,0.001,0.01,0.0001
36.5625,0.001,0.01,0.0001
36.171875,0.001,0.01,0.0001
36.953125,0.001,0.01,0.0001
38.515625,0.001,0.01,0.0001
40.46875,0.001,0.01,0.0001
43.203125,0.001,0.01,0.0001
45.9375,0.001,0.01,0.0001
49.0625,0.001,0.01,0.0001
54.140625,0.001,0.01,0.0001
57.65625,0.001,0.01,0.0001
59.609375,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
60.0,0.001,0.01,0.0001
40.859375,0.001,0.01,0.0001
59.609375,0.001,0.01,0.0001
59.609375,0.001,0.01,0.0001
58.4375,0.001,0.01,0.0001
36.09375,0.001,0.01,0.0001
5.625,0.001,0.01,0.0001
10.0,0.001,0.01,0.0001
40.0,0.001,0.01,0.0001
10.3125,0.001,0.01,0.0001
23.28125,0.001,0.01,0.0001
